naive, sequence, binning, gt, pseudo_gt
0.6359143327841845, 0.6359143327841845, 0.6359143327841845, 0.6359143327841845, 0.6359143327841845
0.5507962657880285, 0.7913234486545854, 0.7391543108182317, 0.757276221856123, 0.757276221856123
0.5030203185063152, 0.8132894014277869, 0.8017572762218561, 0.8204283360790774, 0.8204283360790774
0.500823723228995, 0.814936847885777, 0.8198791872597474, 0.8215266337177375, 0.8215266337177375
0.49917627677100496, 0.8242723778143877, 0.829214717188358, 0.8259198242723779, 0.8259198242723779
0.499725425590335, 0.842943437671609, 0.8358045030203185, 0.842943437671609, 0.842943437671609
0.49917627677100496, 0.8544755628775398, 0.8506315211422295, 0.8467874794069192, 0.8467874794069192
0.49917627677100496, 0.8555738605161999, 0.8506315211422295, 0.8506315211422295, 0.8506315211422295
0.49917627677100496, 0.8511806699615596, 0.8451400329489291, 0.8533772652388797, 0.8533772652388797
0.499725425590335, 0.8511806699615596, 0.8517298187808896, 0.8500823723228995, 0.8500823723228995
